gene_id	name	ko_flux	dependency_score	essential
b1059	solA	0.9865144469529878	0.0	nonessential
b3451	ugpE	0.9865144469529712	0.0	nonessential
b0621	dcuC	0.9865144469529832	0.0	nonessential
b3824	rhtB	0.9865144469529712	0.0	nonessential
b3450	ugpC	0.9865144469529712	0.0	nonessential
b0813	rhtA	0.9865144469529712	0.0	nonessential
b0352	mhpE	0.9865144469529712	0.0	nonessential
b2411	ligA	0.9865144469529712	0.0	nonessential
b3452	ugpA	0.9865144469529712	0.0	nonessential
b1109	ndh	0.9865144469529712	0.0	nonessential
b3453	ugpB	0.9865144469529712	0.0	nonessential
b0118	acnB	0.9865144469529712	0.0	nonessential
b0347	mhpA	0.9865144469529727	0.0	nonessential
b0508	hyi	0.9865144469529854	0.0	nonessential
b3665	adeD	0.9865144469529727	0.0	nonessential
b3426	glpD	0.9865144469529529	0.0	nonessential
b0954	fabA	0.9865144469529735	0.0	nonessential
b3996	nudC	0.9865144469529712	0.0	nonessential
b0509	glxR	0.9865144469529736	0.0	nonessential
b3568	xylH	0.9865144469529725	0.0	nonessential
b2407	xapA	0.9865144469529725	0.0	nonessential
b2423	cysW	0.9865144469529764	0.0	nonessential
b0765	modC	0.986514446952971	0.0	nonessential
b3566	xylF	0.9865144469529725	0.0	nonessential
b2424	cysU	0.9865144469529746	0.0	nonessential
b2425	cysP	0.9865144469529679	0.0	nonessential
b2104	thiM	0.9865144469529679	0.0	nonessential
b1002	agp	0.9865144469529679	0.0	nonessential
b1296	puuP	0.9865144469529725	0.0	nonessential
b2388	glk	0.9865144469529679	0.0	nonessential
b3567	xylG	0.9865144469529725	0.0	nonessential
b2309	hisJ	0.9865144469529679	0.0	nonessential
b2422	cysA	0.9865144469529679	0.0	nonessential
b3789	rffH	0.9865144469529679	0.0	nonessential
b3125	garR	0.9865144469529736	0.0	nonessential
b0394	mak	0.9865144469529731	0.0	nonessential
b2039	rfbA	0.9865144469529679	0.0	nonessential
b1125	potB	0.9865144469529725	0.0	nonessential
b3577	yiaM	0.9865144469529725	0.0	nonessential
b1440	ydcS	0.9865144469529725	0.0	nonessential
b0655	gltI	0.9865144469529712	0.0	nonessential
b0854	potF	0.9865144469529725	0.0	nonessential
b2519	pbpC	0.9865144469529722	0.0	nonessential
b3579	yiaO	0.9865144469529725	0.0	nonessential
b2514	hisS	0.9865144469529651	0.0	nonessential
