gene_id	name	dependency_score	essential	wt_biomass	ko_biomass
b1119	nagK	0.0	False	0.9823718127269785	0.9823718127269851
b1487	ddpA	0.0	False	0.9823718127269785	0.9823718127269851
b3541	dppD	0.0	False	0.9823718127269785	0.9823718127269851
b1485	ddpC	0.0	False	0.9823718127269785	0.9823718127269851
b3543	dppB	0.0	False	0.9823718127269785	0.9823718127269851
b0463	acrA	0.0	False	0.9823718127269785	0.9823718127269851
b3784	wecA	0.0	False	0.9823718127269785	0.9823718127269851
b2470	acrD	0.0	False	0.9823718127269785	0.9823718127269851
b0462	acrB	0.0	False	0.9823718127269785	0.9823718127269851
b3816	corA	1.33969038945836e-06	False	0.9823718127269785	0.9823704966529021
b1484	ddpD	0.0	False	0.9823718127269785	0.9823718127269856
b1486	ddpB	0.0	False	0.9823718127269785	0.9823718127269851
b3544	dppA	0.0	False	0.9823718127269785	0.9823718127269851
b1483	ddpF	0.0	False	0.9823718127269785	0.9823718127269851
b3540	dppF	0.0	False	0.9823718127269785	0.9823718127269851
b2416	ptsI	0.01055520371542429	False	0.9823718127269785	0.9720026781193546
b0092	ddlB	0.0	False	0.9823718127269785	0.9823718127269943
b0381	ddlA	0.0	False	0.9823718127269785	0.9823718127269851
b1325	ycjG	0.0	False	0.9823718127269785	0.9823718127269851
b4053	alr	0.0	False	0.9823718127269785	0.9823718127269851
b2174	lpxT	0.0	False	0.9823718127269785	0.9823718127269851
b0914	msbA	0.999999999999998	True	0.9823718127269785	1.990991969409602e-15
b1102	fhuE	0.0	False	0.9823718127269785	0.982371812726982
b2765	queD	2.0342617921598275e-15	False	0.9823718127269785	0.9823718127269765
b1101	ptsG	2.0342617921598275e-15	False	0.9823718127269785	0.9823718127269765
b0783	moaC	1.0	True	0.9823718127269785	0.0
b1190	dadX	0.0	False	0.9823718127269785	0.9823718127269816
b2415	ptsH	0.010555203715440338	False	0.9823718127269785	0.9720026781193388
b0870	ltaE	3.2774217762575e-15	False	0.9823718127269785	0.9823718127269753
b2417	crr	7.119916272559396e-15	False	0.9823718127269785	0.9823718127269715
b2551	glyA	0.014263932384696988	False	0.9823718127269785	0.9683593276136087
