b_number	gene_name	ppi_degree	ppi_betweenness	ppi_eigen	met_degree	met_betweenness	met_eigen	fba_dep_full	fba_dep_ltee	ppi_degree_norm	ppi_eigen_norm	ppi_betweenness_norm	met_degree_norm	met_eigen_norm	fba_dep_ltee_norm	composite_integration	ppi_composite	met_composite
b3580	lyxK	30	0.000261865444932648	0.0008374025699688437	263	0.000858909052348369	0.04234217860585008	0.0	3.616465408284138e-15	0.057692307692307696	0.011394491409211156	0.004652454181209414	0.5230460921843687	0.739748123540536	3.616465408284138e-15	0.2663762029652854	0.03454339955075943	0.6313971078624523
b3714	adeP	16	6.0416909412564885e-05	2.734522669273345e-05	187	0.00043819536337954835	0.023375462813068317	0.0	3.616465408284138e-15	0.03076923076923077	0.00037208501837398904	0.001073402040061199	0.37074148296593185	0.40792321792541636	3.616465408284138e-15	0.1619612033357913	0.01557065789380238	0.3893323504456741
b1093	fabG	59	8.969460533006278e-05	0.00038687012706002373	138	0.0004237678359985689	0.01586924932016622	1.0	0.9999999999999784	0.11346153846153847	0.005264120862955889	0.0015935666567504115	0.2725450901803607	0.2766011371275857	0.9999999999999784	0.3335743773264838	0.05936282966224718	0.2745731136539732
b1095	fabF	93	0.000569984890701458	0.00047624422511112436	171	0.0007988757643600654	0.019989729183565688	0.0	0.0	0.17884615384615385	0.006480229373928277	0.01012668391070934	0.3386773547094188	0.3486894130684252	0.0	0.1745386301995852	0.09266319161004107	0.343683383888922
b2323	fabB	60	0.00034740854132597006	0.00020180661272580918	165	0.0007454450928191876	0.0205856613503992	1.0	1.0	0.11538461538461539	0.0027459716479157565	0.006172262709559053	0.32665330661322645	0.35911531585375617	1.0	0.36077984189990275	0.05906529351626558	0.3428843112334913
b0474	adk	206	0.0019129485834904866	0.0011842426503681125	278	0.0014288166731640803	0.03729237594786537	0.0	0.0	0.3961538461538462	0.016113925595598492	0.033986559921978264	0.5531062124248497	0.6514012368856273	0.0	0.3233550442119843	0.20613388587472234	0.6022537246552385
b0120	speD	20	0.0001266455110426262	0.000833600727647719	180	0.0006889465069980039	0.022497313757916464	1.0	0.0	0.038461538461538464	0.0113427599466855	0.002250057992696269	0.3567134268537074	0.3925598977531034	0.0	0.15981552460300694	0.024902149204111983	0.3746366623034054
b0827	moeA	57	0.0006887015097024008	0.004883766273174082	233	0.000652188935871624	0.03225222204601953	1.0	1.0	0.10961538461538461	0.06645314313562196	0.01223587258427427	0.4629258517034068	0.5632231563450751	1.0	0.44044350715989766	0.08803426387550328	0.5130745040242409
b1397	paaJ	26	4.40783236828936e-05	4.8117165231262585e-05	66	5.418814703453962e-05	0.006628602597286635	0.0	0.0	0.05	0.0006547276608950629	0.0007831211994080589	0.1282565130260521	0.11493494461738175	0.0	0.05876923706086579	0.025327363830447532	0.12159572882171693
b3857	mobA	37	0.00030154064831123444	0.00019948092683199598	196	0.0005086743615185544	0.02650204210549052	1.0	1.0	0.07115384615384615	0.002714326165936206	0.0053573469779528505	0.3887775551102204	0.4626230874200086	1.0	0.38505376297000227	0.03693408615989118	0.4257003212651145
b3856	mobB	24	7.926216428327946e-05	0.000920250266838377	204	0.0004877139407242947	0.026138488502107496	0.0	0.0	0.046153846153846156	0.012521795532827529	0.001408217826243922	0.4048096192384769	0.4562626747135284	0.0	0.1839495871277358	0.029337820843336842	0.4305361469760026
b4214	cysQ	26	0.00016098032171732197	0.0009540785567017427	207	0.000459173601028414	0.030159841526526118	1.0	1.0	0.05	0.012982095240590269	0.0028600702588263325	0.4108216432865731	0.5266167150414073	1.0	0.40008409071371415	0.031491047620295136	0.4687191791639902
b3806	cyaA	83	0.001722156521620358	0.0011983373566519639	148	0.00012366944936032504	0.022277000439849624	0.0	0.0	0.15961538461538463	0.016305711500521944	0.03059683690519173	0.2925851703406813	0.3887054905498751	0.0	0.1714423514012926	0.08796054805795328	0.3406453304452782
b1245	oppC	190	3.219007569460984e-05	0.07297609902627128	319	0.0015099104285777813	0.047882008442238416	0.0	0.0	0.3653846153846154	0.9929818264870244	0.0005719076539379002	0.6352705410821643	0.8366680928524067	0.0	0.5660610151612422	0.67918322093582	0.7359693169672855
