gene_id	name	dependency_score	essential	retained
b1442	ydcU	0	nonessential	0
b2682	ygaZ	0	nonessential	0
b0857	potI	0	nonessential	0
b4258	valS	0	nonessential	0
b1123	potD	0	nonessential	0
b4196	ulaD	0	nonessential	0
b3581	sgbH	0	nonessential	0
b0698	kdpA	0	nonessential	0
b4240	treB	0	nonessential	0
b1124	potC	0	nonessential	0
b1466	narW	0	nonessential	0
b1465	narV	0	nonessential	0
b4471	tdcG	0	nonessential	0
b0517	allD	0	nonessential	0
b0696	kdpC	0	nonessential	0
b1006	rutG	0	nonessential	0
b3366	nirD	0	nonessential	0
b1197	treA	0	nonessential	0
b0697	kdpB	0	nonessential	0
b4513	kdpF	0	nonessential	0
b1468	narZ	0	nonessential	0
b1226	narJ	0	nonessential	0
b3365	nirB	0	nonessential	0
b1224	narG	0	nonessential	0
b4071	nrfB	0	nonessential	0
b2497	uraA	0	nonessential	0
b1227	narI	0	nonessential	0
b1467	narY	0	nonessential	0
b3553	ghrB	0	nonessential	0
b1991	cobT	0	nonessential	0
b3679	yidK	0	nonessential	0
b4231	yjfF	0	nonessential	0
b2563	acpS	0	nonessential	1
b4230	ytfT	0	nonessential	0
b2889	idi	0	nonessential	0
b2148	mglC	0	nonessential	0
b1223	narK	0	nonessential	0
b2150	mglB	0	nonessential	0
b3367	nirC	0	nonessential	0
b2149	mglA	0	nonessential	0
b3475	acpT	0	nonessential	0
b1010	rutC	0	nonessential	0
b2683	ygaH	0	nonessential	0
b4227	ytfQ	0	nonessential	0
b1748	astC	0	nonessential	0
b1539	ydfG	0	nonessential	0
b1441	ydcT	0	nonessential	0
b2203	napB	0	nonessential	0
b2202	napC	0	nonessential	0
b2205	napG	0	nonessential	0
b3572	avtA	0	nonessential	0
b0856	potH	0	nonessential	0
b2206	napA	0	nonessential	0
b0160	dgt	0	nonessential	0
b2204	napH	0	nonessential	0
b1225	narH	0	nonessential	0
b1443	ydcV	0	nonessential	0
b1090	plsX	0	nonessential	0
b2048	cpsG	0	nonessential	0
b3803	hemX	0	nonessential	0
b0902	pflA	0	nonessential	0
b2705	srlD	0	nonessential	0
b0650	hscC	0	nonessential	0
b4394	yjjX	0	nonessential	0
b3821	pldA	0	nonessential	0
b0980	appA	0	nonessential	0
b2702	srlA	0	nonessential	0
b4239	treC	0	nonessential	0
b2254	arnC	0	nonessential	0
b2781	mazG	0	nonessential	0
b2579	grcA	0	nonessential	0
b2704	srlB	0	nonessential	0
b1363	trkG	0	nonessential	0
b3114	tdcE	0	nonessential	0
b2256	arnD	0	nonessential	0
b2954	rdgB	0	nonessential	0
b0903	pflB	0	nonessential	0
b0273	argF	0	nonessential	1
b1759	nudG	0	nonessential	0
